Timestamp,acc.z,ext_pos.Z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
211607,0.9996767640113831,0.0,0,0,0,0
211707,1.0023518800735474,0.0,0,0,0,0
211807,1.0001249313354492,0.0,0,0,0,0
211907,0.9975519776344299,0.0,0,0,0,0
212007,0.9997422695159912,0.0,0,0,0,0
212107,0.9997177124023438,0.0,0,0,0,0
212207,1.0006929636001587,0.0,0,0,0,0
212307,1.0015772581100464,0.0,0,0,0,0
212407,0.9989355802536011,0.0,0,0,0,0
212507,1.0001542568206787,0.0,0,0,0,0
212607,0.9971070885658264,0.0,0,0,0,0
212707,0.9981659054756165,0.0,0,0,0,0
212807,0.9976986646652222,0.0,0,0,0,0
212907,0.998538613319397,0.0,0,0,0,0
213007,1.0016722679138184,0.0,0,0,0,0
213107,0.9978477954864502,0.0,0,0,0,0
213207,0.9996820688247681,0.0,0,0,0,0
213307,0.9983669519424438,0.0,0,0,0,0
213407,0.9991856217384338,0.0,0,0,0,0
213507,0.9995834231376648,0.0,0,0,0,0
213607,0.9982559680938721,0.0,0,0,0,0
213707,1.0003485679626465,0.0,0,0,0,0
213807,0.9996485710144043,0.0,0,0,0,0
213907,0.9991441965103149,0.0,0,0,0,0
214007,0.9985093474388123,0.0,0,0,0,0
214107,0.9983394742012024,0.0,0,0,0,0
214207,0.9999094009399414,0.0,0,0,0,0
214307,0.9977136254310608,0.0,0,0,0,0
214407,0.9992279410362244,0.0,0,0,0,0
214507,0.999169111251831,0.0,0,0,0,0
214607,1.0000723600387573,0.0,0,0,0,0
214707,0.9968374371528625,0.0,0,0,0,0
214807,0.9995723962783813,0.0,0,0,0,0
214907,1.0022928714752197,0.0,0,0,0,0
215007,0.9999693632125854,0.0,0,0,0,0
215107,0.9967470765113831,0.0,0,0,0,0
215207,0.9988506436347961,0.0,0,0,0,0
215307,0.9992719292640686,0.0,0,0,0,0
215407,1.0001929998397827,0.0,0,0,0,0
215507,1.0015958547592163,0.0,0,0,0,0
215607,0.9969022274017334,0.0,0,0,0,0
215707,1.0012930631637573,0.0,0,0,0,0
215807,0.998254656791687,0.0,0,0,0,0
215907,1.0009464025497437,0.0,0,0,0,0
216007,0.99899822473526,0.0,0,0,0,0
216107,1.000557780265808,0.0,0,0,0,0
216207,1.0006922483444214,0.0,0,0,0,0
216307,1.000499963760376,0.0,0,0,0,0
216407,0.9991081357002258,0.0,0,0,0,0
216507,1.000770926475525,0.0,0,0,0,0
216607,1.0006630420684814,0.0,0,0,0,0
216707,1.0014634132385254,0.0,0,0,0,0
216807,1.00222647190094,0.0,0,0,0,0
216907,1.0006299018859863,0.0,0,0,0,0
217007,1.00136399269104,0.0,0,0,0,0
217107,0.9978455901145935,0.0,0,0,0,0
217207,1.0014599561691284,0.0,0,0,0,0
217307,0.9998283982276917,0.0,0,0,0,0
217407,0.9989237785339355,0.0,0,0,0,0
217507,0.9997536540031433,0.0,0,0,0,0
217607,0.9988487958908081,0.0,0,0,0,0
217707,0.9984832406044006,0.0,0,0,0,0
217807,1.0004453659057617,0.0,0,0,0,0
217907,1.0009090900421143,0.0,0,0,0,0
218007,0.9984152913093567,0.0,0,0,0,0
218107,0.998025119304657,0.0,0,0,0,0
218207,1.0004328489303589,0.0,0,0,0,0
218307,1.000401258468628,0.0,0,0,0,0
218407,1.0007883310317993,0.0,0,0,0,0
218507,1.0008548498153687,0.0,0,0,0,0
218607,0.9990911483764648,0.0,0,0,0,0
218707,0.9985389709472656,0.0,0,0,0,0
218807,0.9994014501571655,0.0,0,0,0,0
218907,0.9981885552406311,0.0,0,0,0,0
219007,0.9991785883903503,0.0,0,0,0,0
219107,0.9984544515609741,0.0,0,0,0,0
219207,0.9998891949653625,0.0,0,0,0,0
219307,1.0003999471664429,0.0,0,0,0,0
219407,0.9985948204994202,0.0,0,0,0,0
219507,1.0008277893066406,0.0,0,0,0,0
219607,0.9991719126701355,0.0,0,0,0,0
219707,0.9927849769592285,0.0,22965,21453,25300,25343
219807,0.9927995800971985,0.0,26565,24039,26555,28568
219907,1.008049488067627,0.0,27722,26123,29484,30726
220007,1.0334560871124268,0.0,34093,32131,36521,36510
220107,1.1270103454589844,0.0,48203,48633,51560,48875
220207,1.107237696647644,0.0,52394,57653,59884,56788
220307,1.1952279806137085,0.0,50707,55175,58671,55104
220407,1.144486665725708,0.0,52400,53822,58489,53085
220507,1.0328835248947144,0.0,54073,47906,57949,52746
220607,1.0440949201583862,0.0,56693,51676,58854,51952
220707,1.0363199710845947,0.0,55545,50524,58763,52841
220807,1.0371330976486206,0.0,54683,50737,58489,52515
220907,1.0398603677749634,0.0,56601,52305,58947,52819
221007,1.0729395151138306,0.0,56618,51797,59039,54821
221107,1.0828404426574707,0.0,57172,52983,59411,54924
221207,1.0875918865203857,0.0,57763,54439,59884,55130
221307,1.0929936170578003,0.0,56176,53431,59599,55939
221407,1.0680042505264282,0.0,54743,52266,58947,55427
221507,1.0374946594238281,0.0,54887,53011,58947,53276
221607,1.0275464057922363,0.0,55131,53296,59039,52725
221707,1.0278764963150024,0.0,55948,52972,59039,53018
221807,1.016581654548645,0.0,55672,50984,59039,54987
221907,1.0254857540130615,0.0,56273,52803,59411,53878
222007,1.0400704145431519,0.0,56073,53411,59599,54386
222107,1.0387091636657715,0.0,55431,53051,59694,55239
222207,1.0323729515075684,0.0,56637,53195,59884,55753
222307,1.0235285758972168,0.0,56084,53386,59694,55335
222407,1.0310057401657104,0.0,54678,52039,59132,53724
